Review,Sentiment
Fast shipping but this product is very cheaply made I brought this for my grandchild so her IPod would be protected if it fell but this skin is not suitable for protection. It is only good for decoration. Therefore I rated it1*,1
This case takes so long to ship and it's not even worth it DONT BUY!!!!,1
Good for not droids. Not good for iPhones. You cannot use all the features of the watch if you have an iPhone because it won't synch to the iPhone,1
The cable was not compatible between my macbook and iphone.  Also the connector came apart and the cables started fraying.,1
The case is nice but did not have a glow light. I'm disappointed that the product didn't meet the advertisement.,1
"The cable keeps coming up with message that this accessory is not supported. I bought it specifically because I was led to believe that it was totally compatible with the iphone 5s. I am not able to charge the iphone either with these cables. II had to throw it in the trash. It is a waste of money,",1
This pos broke off in my phone after 3 uses and I was luckily able to pull out the remnants with tweezers. Stay. Away.,1
This product suck its hard 2 hear wat other are saying,1
Music cuts off within 30 secs. I like Aukey's product but this one really disappointed me! Aukey needs to go back to the drawing board ...,1
Yeah when they say mirror screen they mean it - the iPod becomes more like a $150 mirror and nearly impossible to see the actual screen in direct sunlight.,1
"No power on the AC adapter. Tried several outlets. I confirmed that the USB cable worked. Just the wall adapter didn't. I'm returning it. May have to shell out for the Apple brand one, much as it hurts.",1
Purchased product from vendor Outlet. Bought it to listen to cd's only and used less than 10 times. Decided to use it recently and the cd player skips tracks and is malfunctioning. I contacted the seller and they showed little concern that their product doesn't work. Told me to contact the manufacturer. Should have gone with Sony.<br /><br />DO NOT MAKE THE MISTAKE AND BUY THIS PIECE OF CRAP. YOU PAY FOR WHAT YOU GET. YOU PAY FOR NO NAME AND YOU GET NO QUALITY!!!!!,1
"It is very Tedious to get this thing to work and look good, you need to know the tricks of the trade for this to work.",1
Like others before me I was fooled by the initial customer reviews of this product.  They were either outright lies or placed by the product seller to generate sales.  DO NOT BUY THIS PRODUCT.  The only way I can describe it is that it adds a mirror finish to your kindle.    This product is going straight into my garbage can.  Full stop,1
Give it one star only because I recieved it in a timely fashion but other than that I was very dissatisfied !!!!! Unit did not work and had to be returned.,1
"The charger stopped working after three weeks of use. The light still comes on and everything, it just won't charge anything",1
